team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
49ers,SF,14,QB,551028207,Asaad Worthy,1,0,3403,1,6,28.02,215,135,62.79,9,84,87.68,13,12,1536,7.14,193.98
49ers,SF,14,QB,551029745,Bryce Young,4,0,2638,4,8,91.80,335,222,66.27,14,73,103.83,17,31,2833,8.46,282.93
Bears,CHI,0,QB,551029704,Jamarcus McCloud,1,0,3571,12,1,0.04,1,1,100.00,0,1,79.10,0,0,1,1.00,0.11
Bears,CHI,0,QB,551029279,C.J. Stroud,4,0,2417,7,13,75.32,412,240,58.25,28,82,84.49,38,28,3601,8.74,274.16
Bengals,CIN,1,QB,551028650,Frank Altman,2,0,4089,3,13,60.16,395,251,63.54,11,65,93.05,20,21,3022,7.65,254.26
Bengals,CIN,1,QB,551029553,Deshaun Watson,10,0,8769,4,1,0.64,3,2,66.67,0,14,79.80,0,0,16,5.33,2.00
Bills,BUF,2,HB,551029729,Jaylen Wright,3,0,10306,25,1,4.12,1,1,100.00,0,3,118.70,0,1,3,3.00,0.50
Bills,BUF,2,QB,551029425,Jordan Travis,3,0,10269,6,2,23.52,23,16,69.57,0,53,149.30,0,3,288,12.52,79.00
Bills,BUF,2,QB,551027404,Max Duggan,4,0,2118,8,13,101.36,303,198,65.35,9,73,112.78,13,30,3048,10.06,255.44
Broncos,DEN,3,QB,551028285,Trevor Lawrence,6,0,1372,16,13,107.28,465,300,64.52,20,84,111.73,16,50,4889,10.51,382.88
Browns,CLE,4,QB,551028780,Tavon Pleasant,0,0,10329,15,13,147.56,406,290,71.43,19,77,106.38,14,33,3661,9.02,306.52
Buccaneers,TB,5,QB,551027471,Justin Madsen,1,0,10317,9,3,12.96,27,10,37.04,2,72,81.17,3,2,224,8.30,20.26
Buccaneers,TB,5,QB,551029303,Tua Tagovailoa,7,0,600,1,13,61.20,340,210,61.76,20,66,89.04,18,18,3207,9.43,271.22
Cardinals,ARI,6,QB,551028203,Justin Espinosa,2,0,3938,15,13,168.36,404,268,66.34,14,80,105.64,13,36,3810,9.43,321.04
Cardinals,ARI,6,HB,551027942,Chuba Hubbard,6,0,1234,37,2,8.80,2,2,100.00,0,3,79.10,0,0,1,0.50,-0.12
Cardinals,ARI,6,QB,551028876,Dak Prescott,11,0,8179,5,1,0.50,10,9,90.00,1,29,62.00,1,0,84,8.40,8.40
Chargers,LAC,7,QB,551028545,Joe Milton III,3,0,10180,1,13,109.68,392,297,75.77,13,79,124.63,13,35,3932,10.03,302.85
Chiefs,KC,8,QB,551029686,Jason Devlin,2,0,3360,5,1,0.00,38,22,57.89,3,25,47.20,0,1,192,5.05,192.00
Chiefs,KC,8,QB,551028130,Daniel Jones,8,0,9537,8,13,50.90,334,211,63.17,20,76,80.60,14,24,2749,8.23,218.26
Chiefs,KC,8,QB,551027374,Joshua Dobbs,10,0,8533,15,1,3.10,32,17,53.12,1,29,78.60,0,2,188,5.88,23.50
Colts,IND,9,QB,551027067,Joe Burrow,7,0,198,3,13,48.20,431,282,65.43,13,73,94.85,22,22,3398,7.88,248.99
Commanders,WAS,25,QB,551028150,Mac Jones,6,0,1371,10,1,-0.30,17,10,58.82,1,62,113.20,0,3,192,11.29,27.43
Commanders,WAS,25,QB,551028389,Patrick Mahomes,10,0,8648,15,13,129.18,461,304,65.94,19,90,116.45,17,47,4767,10.34,377.94
Cowboys,DAL,10,QB,551029750,Steven Cohen,1,0,3360,11,4,24.52,119,59,49.58,5,45,73.75,11,8,734,6.17,181.25
Cowboys,DAL,10,QB,551028802,Michael Penix Jr,3,0,10207,7,9,25.50,170,103,60.59,8,80,100.56,18,16,1778,10.46,117.92
Cowboys,DAL,10,QB,551028265,Trey Lance,6,6,1368,19,4,3.40,17,11,64.71,1,39,98.70,0,2,194,11.41,14.45
Dolphins,MIA,11,QB,551026737,Josh Allen,9,0,8800,17,13,60.54,438,268,61.19,22,71,77.90,29,19,3374,7.70,280.30
Eagles,PHI,12,QB,551027970,Jalen Hurts,7,0,704,1,13,118.22,391,295,75.45,14,77,111.97,13,30,3701,9.47,276.65
Falcons,ATL,13,QB,551027849,Justin Herbert,7,0,346,10,13,126.62,377,252,66.84,13,75,113.63,24,35,3842,10.19,280.00
Giants,NYG,15,QB,551028995,Braxton Schwartz,0,0,3667,12,13,104.24,359,232,64.62,10,90,122.28,25,40,4153,11.57,300.81
Jaguars,JAX,16,QB,551026735,Cameron Jarrett,2,0,3869,1,1,-2.00,1,0,0.00,1,0,0.00,1,0,0,0.00,0.00
Jaguars,JAX,16,QB,551028314,Will Levis,4,0,7889,8,13,94.54,342,217,63.45,15,83,114.72,24,43,3728,10.90,297.61
Jets,NYJ,17,QB,551028964,Anthony Richardson,4,3,2609,5,11,57.84,336,214,63.69,20,49,90.62,17,19,2471,7.35,230.40
Jets,NYJ,17,QB,551029382,Skylar Thompson,4,0,1984,19,1,-0.52,7,2,28.57,1,23,9.50,0,0,37,5.29,37.00
Jets,NYJ,17,QB,551028399,Marcus Mariota,12,0,6979,8,4,22.80,142,73,51.41,14,67,65.50,11,6,979,6.89,68.86
Lions,DET,18,QB,551028353,Jordan Love,7,0,433,10,13,132.50,406,253,62.32,29,97,102.18,22,40,4373,10.77,328.43
Packers,GB,19,QB,551027082,Jamie McKinney,1,0,3362,19,3,9.40,70,39,55.71,5,31,61.37,5,3,407,5.81,21.22
Packers,GB,19,QB,551027283,Jayden Daniels,3,0,10048,5,12,66.06,315,225,71.43,13,81,113.93,17,32,2986,9.48,255.46
Panthers,CAR,20,QB,551028677,Bo Nix,3,0,10195,10,13,113.62,400,268,67.00,21,78,115.78,20,46,4139,10.35,310.24
Patriots,NE,21,QB,551028430,Drake Maye,3,9,10165,10,8,22.44,189,124,65.61,7,73,111.53,30,22,1831,9.69,226.64
Patriots,NE,21,QB,551028918,Spencer Rattler,3,0,10220,18,1,1.00,7,4,57.14,0,28,81.80,0,0,54,7.71,18.00
Patriots,NE,21,QB,551027915,Hendon Hooker,4,0,2581,2,6,-1.90,118,73,61.86,12,72,96.35,24,10,1277,10.82,149.41
Raiders,LV,22,QB,551027239,Ryland McPherron,2,0,4204,17,6,20.38,135,89,65.93,12,40,74.13,8,7,1070,7.93,163.79
Raiders,LV,22,QB,551027526,Justin Fields,6,0,1366,2,10,49.30,214,148,69.16,9,94,117.11,15,20,2554,11.93,211.24
Rams,LAR,23,QB,551026795,Brendan Taylor,2,0,4082,6,1,15.40,21,18,85.71,0,39,134.60,4,1,285,13.57,142.50
Rams,LAR,23,QB,551029616,Caleb Williams,3,0,10296,15,10,71.96,334,220,65.87,7,77,113.97,24,27,3336,9.99,296.27
Rams,LAR,23,QB,551027731,Jake Haener,4,0,2575,16,1,0.80,34,13,38.24,2,41,41.20,1,0,260,7.65,65.00
Rams,LAR,23,QB,551028838,Kenny Pickett,5,0,1889,2,2,12.88,71,42,59.15,5,24,66.40,4,3,455,6.41,227.50
Ravens,BAL,24,QB,551027628,Cody Trent,0,0,3666,9,1,0.08,3,1,33.33,0,2,42.30,0,0,2,0.67,2.00
Ravens,BAL,24,QB,551028015,Lamar Jackson,9,0,3851,8,13,130.32,416,251,60.34,41,80,84.39,13,29,4007,9.63,285.47
Saints,NO,26,QB,551027403,Callum Nash,0,0,4203,15,1,-0.04,4,1,25.00,0,0,39.50,0,0,-1,-0.25,-0.20
Saints,NO,26,QB,551028895,Brock Purdy,5,0,1899,13,1,-2.00,1,0,0.00,1,0,0.00,0,0,0,0.00,0.00
Saints,NO,26,QB,551028636,Kyler Murray,8,0,9583,3,13,88.32,389,240,61.70,22,48,81.06,35,13,3166,8.14,233.46
Seahawks,SEA,27,QB,551029656,Malik Willis,5,0,2039,7,13,142.20,389,278,71.47,16,91,123.43,22,48,4154,10.68,303.21
Seahawks,SEA,27,QB,551027938,Sam Howell,5,0,1770,5,2,6.78,11,7,63.64,0,23,88.25,0,1,72,6.55,8.10
Steelers,PIT,28,QB,551028070,Bobby Allan,1,0,3667,7,13,103.86,361,231,63.99,24,80,96.97,35,31,3283,9.09,262.85
Texans,HOU,31,QB,551029686,Jason Devlin,2,0,3360,5,5,2.70,142,99,69.72,6,87,109.94,8,11,1360,9.58,244.41
Texans,HOU,31,QB,551027099,Peter Greco,2,0,3404,8,8,55.20,210,132,62.86,10,78,105.34,20,20,2087,9.94,246.33
Titans,TEN,29,QB,551029426,Larry Alexander,1,0,4089,13,13,192.06,464,319,68.75,22,87,97.46,13,40,4443,9.58,319.34
Titans,TEN,29,QB,551029440,Clayton Tune,4,0,2633,17,4,5.46,58,36,62.07,4,51,72.50,7,5,490,8.45,32.59
Vikings,MIN,30,QB,551027062,Brayden Pope,2,0,3667,7,1,0.96,2,2,100.00,0,19,116.60,0,0,24,12.00,8.00
Vikings,MIN,30,QB,551028446,J.J. McCarthy,3,0,10167,9,13,71.04,338,202,59.76,22,87,95.95,40,29,3180,9.41,205.57
