fGMade,fGAtt,rosterId,kickPts,xPCompPct,fGCompPct,fG50PlusAtt,fG50PlusMade,scheduleId,weekIndex,seasonIndex,kickoffAtt,kickoffTBs,fGLongest,xPMade,xPAtt,stageIndex,teamId,fullName,statId
2,2,551028199,0,100,100,0,0,543031549,0,3,4,1,27,3,3,1,758644771,B.Leno,545652757
0,0,551028495,0,100,0,0,0,543031549,0,3,6,0,0,5,5,1,758644742,C.McLaughlin,545653297
1,1,551029743,0,100,100,1,1,543031564,0,3,0,0,54,3,3,1,758644766,C.York,545653299
0,0,551029091,0,0,0,0,0,543031564,0,3,4,0,0,0,0,1,758644766,J.Scott,545653063
1,1,551026792,0,100,100,0,0,543031564,0,3,4,0,40,2,2,1,758644738,B.Aubrey,545653287
0,0,551028576,0,100,0,0,0,543031565,0,3,5,1,0,4,4,1,758644763,J.Moody,545653769
1,1,551028789,0,100,100,0,0,543031565,0,3,5,2,23,3,3,1,758644751,R.Patterson,545653098
1,1,551029434,0,100,100,0,0,543031569,0,3,7,0,34,5,5,1,758644769,J.Tucker,545653777
0,1,551027456,0,100,0,1,0,543031569,0,3,0,0,0,3,3,1,758644743,J.Elliott,545652940
0,0,551027191,0,0,0,0,0,543031569,0,3,4,3,0,0,0,1,758644743,A.Cole,545652947
0,0,551027134,0,66.6667,0,0,0,543031572,0,3,4,1,0,2,3,1,758644762,E.Abraham,545653228
0,1,551028847,0,100,0,0,0,543031572,0,3,2,0,0,1,1,1,758644767,E.Pineiro,545653655
1,2,551027647,0,100,50,0,0,543031573,0,3,6,5,24,3,3,1,758644749,B.Gillikin,545653490
1,1,551028511,0,100,100,0,0,543031573,0,3,6,2,22,3,3,1,758644739,E.McPherson,545652737
0,0,551029266,0,0,0,0,0,543031576,0,3,3,1,0,0,0,1,758644737,R.Stonehouse,545653204
0,0,551028330,0,100,0,0,0,543031576,0,3,0,0,0,2,2,1,758644737,C.Little,545652986
1,1,551027112,0,100,100,0,0,543031576,0,3,4,1,24,2,2,1,758644750,D.Carlson,545653623
1,1,551029094,0,100,100,0,0,543031594,0,3,0,0,31,5,5,1,758644741,C.Moore,545653176
0,0,551026832,0,0,0,0,0,543031594,0,3,7,0,0,0,0,1,758644741,B.Baringer,545652967
1,1,551027751,0,100,100,0,0,543031594,0,3,6,0,24,3,3,1,758644747,D.Calcutta,545653038
0,0,551026929,0,0,0,0,0,543031570,0,3,7,2,0,0,0,1,758644736,C.Bojorquez,545653005
1,1,551026951,0,100,100,0,0,543031570,0,3,0,0,43,5,5,1,758644736,C.Boswell,545653525
1,1,551026855,0,100,100,0,0,543031570,0,3,9,0,19,7,7,1,758644761,T.Bass,545652889
0,0,551028190,0,100,0,0,0,543031586,0,3,6,6,0,5,5,1,758644746,J.Karty,545653661
1,1,551027074,0,100,100,0,0,543031586,0,3,3,3,42,2,2,1,758644770,H.Butker,545653438
2,2,551029730,0,100,100,1,1,543031554,0,3,0,0,56,1,1,1,758644748,M.Wright,545653094
0,0,551029587,0,0,0,0,0,543031554,0,3,5,4,0,0,0,1,758644748,D.Whelan,545653244
1,1,551029063,0,100,100,0,0,543031567,0,3,2,2,35,1,1,1,758644758,J.Sanders,545653056
0,2,551028240,0,100,0,2,0,543031567,0,3,5,3,0,4,4,1,758644755,Y.Koo,545652827
1,2,551027355,0,100,50,1,0,543031574,0,3,4,1,28,2,2,1,758644753,C.Dicker,545653377
0,0,551029018,0,100,0,0,0,543031574,0,3,4,1,0,3,3,1,758644759,J.Bates,545652928
1,1,551029162,0,0,100,1,1,543031583,0,3,3,0,50,0,0,1,758644772,J.Slye,545653066
3,5,551029067,0,100,60,2,0,543031583,0,3,8,0,42,4,4,1,758644752,C.Santos,545653671
1,1,551026715,0,100,100,0,0,543031577,0,3,7,1,31,3,3,1,758644740,R.Ahmed,545653642
0,0,551027247,0,100,0,0,0,543031577,0,3,7,4,0,6,6,1,758644764,M.Dixon,545653115
1,1,551028369,0,100,100,0,0,543031548,0,3,6,4,30,4,4,1,758644768,W.Lutz,545653495
1,1,551029782,0,100,100,1,1,543031548,0,3,3,2,54,1,1,1,758644757,H.Mevis,545653017
